,Breed,Country of Origin,Fur Color,Height (in),Color of Eyes,Longevity (yrs),Character Traits,Common Health Problems,Size,Exercise,Grooming,Coat_lenght,Town_country,Size_garden,informacion
58,Basset Hound,France,"Black, White, Red",11-15,Brown,10-12,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies",Medium,Up to 1 hour per day,Once a week,Short,Either,Small/ medium garden,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  20 HOURS 23 MINUTES 34 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
59,Australian Kelpie,Australia,"Red, Black",17-20,Brown,12-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  20 HOURS 23 MINUTES 11 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
60,Bloodhound,England,"Red, Black",22-27,Brown,10-12,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies",Large,More than 2 hours per day,Once a week,Short,Country,Large garden,NoInfo
61,Border Collie,England,"Black, White, Red",18-22,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Medium,More than 2 hours per day,More than once a week,Medium,Either,Large garden,"The border collie is considered the smartest dog in the world, according to Stanley Coren, the professor and neuropsychological researcher of the famous book ""The Intelligence of Dogs"", published in 1994. The Border Collie is a breed of dog that stands out for having a wide learning capacity in different areas."
62,Australian Shepherd,Australia,Blue Merle,20-23,Brown,12-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies",Medium,More than 2 hours per day,More than once a week,Medium,Country,Large garden,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  20 HOURS 23 MINUTES 45 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
63,American Bulldog,United States,"White, Red",20-28,Brown,10-12,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  20 HOURS 22 MINUTES 55 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
64,Australian Shepherd,Australia,"Black, Red",18-23,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, skin allergies, hip dysplasia",Medium,More than 2 hours per day,More than once a week,Medium,Country,Large garden,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  20 HOURS 23 MINUTES 45 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
65,Borzoi,Russia,"White, Cream, Red",26-29,Brown,10-12,"Gentle, good-natured, loyal, intelligent","Dental problems, eye issues, skin allergies",Large,Up to 1 hour per day,More than once a week,Medium,Country,Large garden,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  20 HOURS 23 MINUTES 03 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
66,Bull Terrier,England,"White, Red",20-22,Brown,10-12,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies",Medium,Up to 1 hour per day,Once a week,Short,Either,Small/ medium garden,NoInfo
67,Cane Corso,Italy,"Black, Red",22-28,Brown,10-12,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
68,Cardigan Welsh Corgi,Wales,"Red, Sable, Black",10-12,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
69,Chesapeake Bay Retriever,United States,"Brown, Tan",21-26,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  20 HOURS 22 MINUTES 44 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
70,Saluki,Middle East,"Cream, Red",23-28,Brown,12-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies",Medium,More than 2 hours per day,Once a week,Short,Country,Large garden,NoInfo
71,English Setter,England,"Liver, Blue",25-27,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Large,More than 2 hours per day,More than once a week,Medium,Either,Large garden,NoInfo
72,English Springer Spaniel,England,"Black, White, Liver",20-24,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
73,Field Spaniel,England,"Black, Liver",15-18,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
74,Finnish Spitz,Finland,"Red, Golden",15-20,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Small,Up to 1 hour per day,More than once a week,Medium,Either,Small/ medium garden,NoInfo
75,Flat-Coated Retriever,England,"Black, Liver",22-25,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
76,Australian Terrier,Australia,Red,10-11,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Small,Up to 1 hour per day,More than once a week,Medium,Either,Small/ medium garden,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  20 HOURS 23 MINUTES 24 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
77,Giant Schnauzer,Germany,"Black, Salt & Pepper",25-28,Brown,10-12,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies",Large,More than 2 hours per day,Every day,Medium,Either,Large garden,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  20 HOURS 22 MINUTES 53 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
78,Golden Retriever,Scotland,Gold,21-24,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
79,Gordon Setter,Scotland,"Black, Tan",24-27,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Large,More than 2 hours per day,More than once a week,Medium,Country,Large garden,NoInfo
80,Australian Cattle Dog,Australia,"Blue, Red",17-20,Brown,12-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies",Medium,More than 2 hours per day,Once a week,Short,Country,Small/ medium garden,NoInfo
81,Greyhound,England,"White, Black, Red",26-30,Brown,10-12,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies",Large,Up to 1 hour per day,Once a week,Short,Either,Large garden,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  20 HOURS 22 MINUTES 53 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
82,Harrier,England,"Red, Black & Tan",18-21,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Large,More than 2 hours per day,Once a week,Short,Country,Large garden,NoInfo
83,Irish Setter,Ireland,Red,26-28,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Large,More than 2 hours per day,More than once a week,Medium,Either,Large garden,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  20 HOURS 23 MINUTES 20 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
84,Irish Terrier,Ireland,Red,14-16,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Small,Up to 1 hour per day,More than once a week,Medium,Either,Small/ medium garden,NoInfo
85,Irish Water Spaniel,Ireland,Brown,21-24,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
86,Irish Wolfhound,Ireland,"Grey, Red",30-35,Brown,6-10,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies",Large,More than 2 hours per day,More than once a week,Medium,Country,Large garden,"The Irish wolfhound, also known as Irish sighthound or Irish wolf hunter, is one of Ireland's most beloved and cherished dog breeds. Its history is ancient and remote, since it is already mentioned by Julius Caesar in the commentaries on the Gallic War. At the time, he was valued..."
87,Italian Greyhound,Italy,"Red, Black",13-15,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Small,Up to 1 hour per day,Once a week,Short,Either,Small/ medium garden,NoInfo
88,Jack Russell Terrier,England,"White, Black & Tan",10-12,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Small,Up to 1 hour per day,Once a week,Short,Country,Small/ medium garden,NoInfo
89,Japanese Chin,Japan,"Black, Red",7-11,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Small,Up to 30 minutes per day,More than once a week,Medium,Either,Small/ medium garden,NoInfo
90,Keeshond,Netherlands,"Black, Cream",17-19,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Medium,Up to 1 hour per day,Every day,Medium,Either,Small/ medium garden,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  20 HOURS 23 MINUTES 29 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
91,Kerry Blue Terrier,Ireland,Blue,17-19,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Medium,Up to 1 hour per day,Once a week,Medium,Either,Small/ medium garden,NoInfo
92,Kuvasz,Hungary,White,25-29,Brown,10-12,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  20 HOURS 23 MINUTES 04 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
93,Lhasa Apso,Tibet,"Black, White",10-11,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Small,Up to 1 hour per day,Every day,Long,Either,Small/ medium garden,NoInfo
94,Maltese,Malta,White,8-10,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Small,Up to 30 minutes per day,Every day,Long,Either,Small/ medium garden,NoInfo
95,Miniature Pinscher,Germany,"Red, Stag Red",10-12,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Small,Up to 30 minutes per day,Once a week,Short,Either,Small/ medium garden,"The miniature pinscher is one of the most dynamic and confident of small dogs. The miniature pinscher of German origin comes from several dog crosses and although it seems so, it is not the little brother of the Doberman. The miniature pinscher has a predominant and strong character. Although he is very affectionate..."
96,Samoyed,Russia,White,21-23,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Medium,More than 2 hours per day,Every day,Medium,Country,Large garden,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  20 HOURS 22 MINUTES 56 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
97,Shetland Sheepdog,Scotland,"Sable, Black",13-16,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Small,Up to 1 hour per day,Every day,Medium,Either,Small/ medium garden,NoInfo
98,Staffordshire Bull Terrier,England,"White, Black, Red",14-16,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Small,Up to 1 hour per day,Once a week,Short,Either,Small/ medium garden,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  20 HOURS 22 MINUTES 47 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
99,Vizsla,Hungary,Red,20-24,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
100,Anatolian Shepherd,Turkey,Fawn,27-29,Brown,12-14,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
101,Welsh Corgi,Wales,"Red, Sable",10-12,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
102,Welsh Springer Spaniel,Wales,"Liver, White",20-25,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
103,Welsh Terrier,Wales,"Black, Tan",10-12,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Small,Up to 1 hour per day,More than once a week,Medium,Either,Small/ medium garden,NoInfo
104,West Highland White Terrier,Scotland,White,10-12,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Small,Up to 1 hour per day,More than once a week,Medium,Either,Small/ medium garden,NoInfo
105,Whippet,England,"White, Black, Red",18-22,Brown,12-15,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies",Small,Up to 1 hour per day,Once a week,Short,Either,Small/ medium garden,"The whippet dog is one of the lightest greyhounds, reaching a reduced size compared to other sighthounds. This dog resembles a small-sized greyhound, and was formerly used as a hunting and racing dog. Of British origin, the whippet is a really popular dog, usually..."
106,Wirehaired Pointing Griffon,Belgium,"Brown, White",21-24,Brown,12-14,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
107,Xoloitzcuintli,Mexico,"Black, Red",10-14,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
108,Yorkshire Terrier,England,Blue & Tan,7-8,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Small,Up to 30 minutes per day,Every day,Long,Either,Small/ medium garden,NoInfo
109,Akita,Japan,"Red, Fawn, Sesame",24-28,Brown,10-12,"Loyal, intelligent, good-natured, energetic","Dental problems, eye issues, skin allergies",Large,More than 2 hours per day,Once a week,Short,Either,Large garden,NoInfo
110,Africanis,Africa,"Brown, Red",22-25,Brown,12-15,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
111,Basenji,Congo,"Red, Black & White",16-17,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",Small,Up to 1 hour per day,Once a week,Short,Either,Small/ medium garden,MYMEMORY WARNING: YOU USED ALL AVAILABLE FREE TRANSLATIONS FOR TODAY. NEXT AVAILABLE IN  20 HOURS 23 MINUTES 46 SECONDS VISIT HTTPS://MYMEMORY.TRANSLATED.NET/DOC/USAGELIMITS.PHP TO TRANSLATE MORE
112,Catahoula Leopard Dog,United States,"Merle, Black",20-26,Brown,12-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
113,Cocker Spaniel,England,"Black, Brown",14-15,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
114,Miniature Shiba Inu,Japan,"Red, Sesame",13-16,Brown,12-15,"Intelligent, energetic, playful, good-natured","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
115,Belgian Tervuren,Belgium,Fawn,22-26,Brown,12-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies",NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo,NoInfo
116,Pharaoh Hound,Malta,Red,21-25,Brown,12-14,"Intelligent, energetic, good-natured, loyal","Dental problems, eye issues, skin allergies",Medium,More than 2 hours per day,Once a week,Short,Country,Large garden,NoInfo
